,best_f1,best_c,best_depth,var_smoothing,clf,time,max_features,min_dfs,max_dfs,ngram_ranges
21,0.5227037975105508,0.2782559402207126,-1.0,-1.0,logreg,19.615737999999965,10000.0,1.0,0.8,"(1, 3)"
22,0.5228022569821371,0.04641588833612782,-1.0,-1.0,svm,44.76647960000014,10000.0,1.0,0.8,"(1, 3)"
23,0.5454675501538171,-1.0,-1.0,-1.0,nb,0.11419279999995524,10000.0,1.0,0.8,"(1, 3)"
24,0.498409986222976,0.2782559402207126,-1.0,-1.0,logreg,17.773585599999933,10000.0,1.0,0.75,"(1, 1)"
25,0.49894451938839585,0.04641588833612782,-1.0,-1.0,svm,59.29622240000003,10000.0,1.0,0.75,"(1, 1)"
26,0.5036780564282666,-1.0,-1.0,-1.0,nb,0.1140603999999712,10000.0,1.0,0.75,"(1, 1)"
27,0.523299663960184,0.2782559402207126,-1.0,-1.0,logreg,16.761565599999813,10000.0,1.0,0.75,"(1, 2)"
28,0.521376468120012,0.04641588833612782,-1.0,-1.0,svm,48.70340369999985,10000.0,1.0,0.75,"(1, 2)"
29,0.5437240280263402,-1.0,-1.0,-1.0,nb,0.10949369999980263,10000.0,1.0,0.75,"(1, 2)"
30,0.41121371854365013,0.2782559402207126,-1.0,-1.0,logreg,10.888683199999832,10000.0,1.0,0.75,"(2, 3)"
31,0.4068565444652421,0.04641588833612782,-1.0,-1.0,svm,21.171124599999985,10000.0,1.0,0.75,"(2, 3)"
32,0.3777729236640614,-1.0,-1.0,-1.0,nb,0.07527380000010453,10000.0,1.0,0.75,"(2, 3)"
33,0.5250097657739042,0.2782559402207126,-1.0,-1.0,logreg,19.475047700000232,10000.0,1.0,0.75,"(1, 3)"
34,0.5244983710644199,0.04641588833612782,-1.0,-1.0,svm,43.9605461000001,10000.0,1.0,0.75,"(1, 3)"
35,0.5465029227481877,-1.0,-1.0,-1.0,nb,0.11831389999997555,10000.0,1.0,0.75,"(1, 3)"
36,0.49636259813391226,0.2782559402207126,-1.0,-1.0,logreg,16.46791209999992,10000.0,1.0,0.68,"(1, 1)"
37,0.497191272877587,0.04641588833612782,-1.0,-1.0,svm,59.27569459999995,10000.0,1.0,0.68,"(1, 1)"
38,0.5089776852011643,-1.0,-1.0,-1.0,nb,0.10771870000007766,10000.0,1.0,0.68,"(1, 1)"
39,0.5176450187146021,0.2782559402207126,-1.0,-1.0,logreg,19.728164099999958,10000.0,1.0,0.68,"(1, 2)"
40,0.5158864963790599,0.04641588833612782,-1.0,-1.0,svm,48.785491900000125,10000.0,1.0,0.68,"(1, 2)"
41,0.5414228363995014,-1.0,-1.0,-1.0,nb,0.11671720000003916,10000.0,1.0,0.68,"(1, 2)"
42,0.41351272160796865,0.2782559402207126,-1.0,-1.0,logreg,10.999407499999961,10000.0,1.0,0.68,"(2, 3)"
43,0.41098786794441533,0.007742636826811269,-1.0,-1.0,svm,21.088294799999858,10000.0,1.0,0.68,"(2, 3)"
